"縣 市 別","總計家數","總計資本額","無限公司家數","無限公司資本額","兩合公司家數","兩合公司資本額","有限公司家數","有限公司資本額","股份有限公司家數","股份有限公司資本額","外國公司在臺認許公司家數","外國公司在臺認許公司在臺營運資金","大陸地區在臺許可公司家數","大陸地區在臺許可公司在臺營運資金","外國公司代表人辦事處家數","大陸地區在臺許可辦事處家數"
"總計","747506","27012922.10576","5","54.65","5","13.6572","560875","2915296.261737","180929","23865590.685821","5648","225726.171122","44","6240.67988","4924","110"
"   臺灣地區","745843","26986722.269532","5","54.65","5","13.6572","559591","2907978.570859","180550","23846708.540471","5648","225726.171122","44","6240.67988","4924","110"
"      新北市","144900","2620716.447332","1","11.75","0","0","114484","513730.318702","29768","2086986.141744","642","19966.736886","5","21.5","415","27"
"      臺北市","175010","13888936.124673","0","0","2","6.1","114264","805269.912249","56987","12910480.278348","3727","167114.454196","30","6065.37988","3168","38"
"      桃園市","67578","1674553.056956","0","0","0","0","52625","256567.017604","14746","1408693.894323","202","9256.345029","5","35.8","168","14"
"      臺中市","112781","2048274.024171","0","0","1","1.8072","86874","385032.445936","25451","1653690.02446","455","9549.746575","0","0","572","9"
"      臺南市","42378","1034711.128893","0","0","0","0","32514","169022.625795","9773","864330.239915","91","1358.263183","0","0","76","3"
"      高雄市","84074","2220404.822559","1","25","2","5.75","67178","318070.671469","16687","1895885.168692","205","6346.232398","1","72","255","7"
"      宜蘭縣","6982","99600.151472","1","16.68","0","0","5533","31868.839818","1437","67553.831654","11","160.8","0","0","4","0"
"      新竹縣","15034","613009.865246","0","0","0","0","10517","52887.906548","4375","556750.734545","140","3325.724153","2","45.5","78","2"
"      苗栗縣","8260","298708.060683","0","0","0","0","6287","29710.932908","1966","268082.503875","7","914.6239","0","0","13","0"
"      彰化縣","29389","574917.107238","1","0.02","0","0","22692","98536.88647","6659","475270.887514","37","1109.313254","0","0","44","0"
"      南投縣","5961","109841.863251","0","0","0","0","4610","21403.44812","1345","88374.250131","6","64.165","0","0","5","2"
"      雲林縣","8144","293115.936873","1","1.2","0","0","6641","37905.066411","1494","253109.39365","8","2100.276812","0","0","6","0"
"      嘉義縣","5302","81549.993511","0","0","0","0","4133","20185.207665","1160","61331.535846","8","32.75","1","0.5","2","0"
"      屏東縣","8415","124154.146796","0","0","0","0","6912","33187.748846","1499","90636.79795","4","329.6","0","0","15","2"
"      臺東縣","1699","18737.152032","0","0","0","0","1366","7171.637592","330","11524.51444","3","41","0","0","4","0"
"      花蓮縣","3944","80855.001773","0","0","0","0","3026","15401.369782","914","63251.798285","4","2201.833706","0","0","6","0"
"      澎湖縣","995","13061.41267","0","0","0","0","788","4158.41675","207","8902.99592","0","0","0","0","0","0"
"      基隆市","6353","88863.912532","0","0","0","0","5289","19748.135422","1058","69105.58461","6","10.1925","0","0","9","1"
"      新竹市","13263","1026226.552243","0","0","0","0","9540","55424.028364","3636","968989.960349","87","1812.56353","0","0","74","5"
"      嘉義市","5381","76485.508628","0","0","0","0","4318","32695.954408","1058","43758.00422","5","31.55","0","0","10","0"
"   金馬地區","1663","26199.836228","0","0","0","0","1284","7317.690878","379","18882.14535","0","0","0","0","0","0"
"      金門縣","1432","24078.256228","0","0","0","0","1100","6132.810878","332","17945.44535","0","0","0","0","0","0"
"      連江縣","231","2121.58","0","0","0","0","184","1184.88","47","936.7","0","0","0","0","0","0"
